URL,Status
b'https://houseofbracesny.com',
b'http://www.maidenlanedental.com',409
b'https://www.nycpediatricdentist.com',406
b'http://www.suttonpda.com/mina-elahi-new-york',404
b'http://thebrandwellnesscenter.com',200
b'https://veytsmandds.com',200
b'https://www.kirschdds.com',403
b'https://www.madisondentalspa.com',200
b'https://www.fidiendodontics.com',200
b'https://www.centurymedicaldental.com',200
b'https://houseofbracesny.com',
b'https://www.perionyc.com',200
b'http://www.drveligdan.com',200
b'https://www.kirschdds.com',403
b'http://www.madisonavedentist.com',200
b'http://www.expertdentalnyc.com',200
b'http://nydental.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://3dmicroendo.com',200
b'https://www.centurymedicaldental.com/dentistry',200
b'https://www.centurymedicaldental.com',200
b'http://www.drveligdan.com',200
b'https://www.perionyc.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.madisonavedentist.com',200
b'http://thebrandwellnesscenter.com',200
b'http://newyorkdentalspecialty.com',200
b'https://houseofbracesny.com',
b'http://3dmicroendo.com',200
b'http://www.expertdentalnyc.com',200
b'https://www.northwell.edu/find-care/find-a-doctor/dr-brett-a-miles-md-dds-11511478',403
b'http://www.holisticdentistrynyc.com',404
b'https://www.sleepwellorthotics.com',403
b'https://www.kirschdds.com',403
b'http://www.chelseadentalaesthetics.com',200
b'http://www.smilesny.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.perionyc.com',200
b'https://www.centurymedicaldental.com',200
b'http://www.drveligdan.com',200
b'http://www.gentledentalnyc.com',200
b'https://houseofbracesny.com',
b'http://www.madisonavedentist.com',200
b'https://www.sleepwellorthotics.com',403
b'http://www.vipsmiles.com',200
b'http://www.expertdentalnyc.com',200
b'https://www.kirschdds.com',403
b'http://3dmicroendo.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.advanceddentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'http://3dmicroendo.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.chelseadentalaesthetics.com',200
b'https://houseofbracesny.com',
b'http://www.gentledentalnyc.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.sleepwellorthotics.com',403
b'https://www.kirschdds.com',403
b'https://www.youngbuidds.com',200
b'http://www.drlipschutz.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.drturkowitz.com',
b'https://www.drgraffeo.com',
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'http://smileartsny.com',200
b'https://www.perionyc.com',200
b'https://houseofbracesny.com',
b'https://www.youngbuidds.com',200
b'http://www.madisonavedentist.com',200
b'https://www.kirschdds.com',403
b'http://3dmicroendo.com',200
b'http://www.expertdentalnyc.com',200
b'https://www.sleepwellorthotics.com',403
b'http://thebrandwellnesscenter.com',200
b'http://www.drveligdan.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.centurymedicaldental.com',200
b'https://www.youngbuidds.com',200
b'http://www.martinmandmd.com',
b'https://www.perionyc.com',200
b'http://www.gentledentalnyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.smilesny.com',200
b'https://houseofbracesny.com',
b'https://www.sleepwellorthotics.com',403
b'http://3dmicroendo.com',200
b'http://www.martinmandmd.com',
b'http://www.chelseadentalaesthetics.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.expertdentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.kirschdds.com',403
b'https://www.coliseumdental.com',403
b'https://www.centurymedicaldental.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.drveligdan.com',200
b'https://www.perionyc.com',200
b'https://www.sleepwellorthotics.com',403
b'https://houseofbracesny.com',
b'http://www.madisonavedentist.com',200
b'http://www.gentledentalnyc.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.martinmandmd.com',
b'http://www.holisticdentistrynyc.com',404
b'http://www.chelseadentalaesthetics.com',200
b'https://www.northwell.edu/find-care/find-a-doctor/dr-brett-a-miles-md-dds-11511478',403
b'http://thebrandwellnesscenter.com',200
b'https://www.youngbuidds.com',200
b'https://www.kirschdds.com',403
b'http://www.drveligdan.com',200
b'http://3dmicroendo.com',200
b'http://www.smilesny.com',200
b'https://www.perionyc.com',200
b'http://www.gentledentalnyc.com',200
b'https://houseofbracesny.com',
b'https://www.coliseumdental.com',403
b'http://www.martinmandmd.com',
b'https://www.centurymedicaldental.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.advanceddentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.kirschdds.com',403
b'https://www.sleepwellorthotics.com',403
b'http://thebrandwellnesscenter.com',200
b'http://3dmicroendo.com',200
b'http://www.drveligdan.com',200
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'https://www.sleepwellorthotics.com',403
b'http://www.expertdentalnyc.com',200
b'https://www.youngbuidds.com',200
b'https://www.centurymedicaldental.com',200
b'http://thebrandwellnesscenter.com',200
b'https://houseofbracesny.com',
b'http://www.advanceddentalnyc.com',200
b'http://www.martinmandmd.com',
b'http://www.holisticdentistrynyc.com',404
b'https://www.northwell.edu/find-care/find-a-doctor/dr-brett-a-miles-md-dds-11511478',403
b'http://www.chelseadentalaesthetics.com',200
b'http://www.gentledentalnyc.com',200
b'http://3dmicroendo.com',200
b'https://www.kirschdds.com',403
b'http://www.martinmandmd.com',
b'http://www.vipsmiles.com',503
b'https://www.youngbuidds.com',200
b'https://www.centurymedicaldental.com',200
b'https://houseofbracesny.com',
b'http://www.drveligdan.com',200
b'http://www.madisonavedentist.com',200
b'http://www.advanceddentalnyc.com',200
b'https://www.perionyc.com',200
b'https://vipsmiles.com',200
b'http://www.gentledentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://3dmicroendo.com',200
b'https://www.sharamillerdds.com',200
b'https://www.kirschdds.com',403
b'http://www.expertdentalnyc.com',200
b'https://www.centurymedicaldental.com/dentistry',200
b'https://www.youngbuidds.com',200
b'http://www.drveligdan.com',200
b'http://www.martinmandmd.com',
b'https://houseofbracesny.com',
b'https://www.centurymedicaldental.com',200
b'http://www.madisonavedentist.com',200
b'https://www.perionyc.com',200
b'http://www.expertdentalnyc.com',200
b'http://3dmicroendo.com',200
b'https://www.sleepwellorthotics.com',403
b'https://www.kirschdds.com',403
b'http://www.gentledentalnyc.com',200
b'http://www.drveligdan.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.advanceddentalnyc.com',200
b'https://www.centurymedicaldental.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.martinmandmd.com',
b'http://www.advanceddentalnyc.com',200
b'https://houseofbracesny.com',
b'http://www.expertdentalnyc.com',200
b'http://www.chelseadentalaesthetics.com',200
b'https://www.sleepwellorthotics.com',403
b'http://thebrandwellnesscenter.com',200
b'https://www.coliseumdental.com',403
b'https://www.kirschdds.com',403
b'http://3dmicroendo.com',200
b'http://www.gentledentalnyc.com',200
b'https://columbusparkdental.com/about-columbus-park-dental-nyc',403
b'http://www.martinmandmd.com',
b'http://www.drveligdan.com',200
b'https://houseofbracesny.com',
b'https://columbuscircledental.com',200
b'https://www.youngbuidds.com',200
b'https://www.centurymedicaldental.com',200
b'https://www.kirschdds.com',403
b'http://www.advanceddentalnyc.com',200
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.smilesny.com',200
b'http://3dmicroendo.com',200
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.gentledentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.perionyc.com',200
b'https://www.coliseumdental.com',403
b'https://www.youngbuidds.com',200
b'http://www.madisonavedentist.com',200
b'http://www.martinmandmd.com',
b'https://houseofbracesny.com',
b'http://www.advanceddentalnyc.com',200
b'http://www.expertdentalnyc.com',200
b'https://www.sleepwellorthotics.com',403
b'http://3dmicroendo.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.kirschdds.com',403
b'https://www.playhousedentalforkids.com',200
b'http://thebrandwellnesscenter.com',200
b'https://www.fidiendodontics.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.drveligdan.com',200
b'https://houseofbracesny.com',
b'http://www.madisonavedentist.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.perionyc.com',200
b'https://www.sleepwellorthotics.com',403
b'https://www.centurymedicaldental.com',200
b'https://www.kirschdds.com',403
b'http://www.expertdentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://3dmicroendo.com',200
b'http://www.advanceddentalnyc.com',200
b'https://houseofbracesny.com',
b'http://www.chelseadentalaesthetics.com',200
b'http://www.martinmandmd.com',
b'http://www.adamsmithdds.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.drcharleskaner.com',200
b'https://www.sleepwellorthotics.com',403
b'http://3dmicroendo.com',200
b'http://www.chelseadentalaesthetics.com',200
b'https://www.kirschdds.com',403
b'http://www.rossinski.com',200
b'http://www.drveligdan.com',200
b'http://www.gentledentalnyc.com',200
b'https://newyorkgeneraldentistry.com',403
b'https://www.centurymedicaldental.com',200
b'http://www.advanceddentalnyc.com',200
b'https://www.youngbuidds.com',200
b'https://www.perionyc.com',200
b'https://www.sleepwellorthotics.com',403
b'http://www.expertdentalnyc.com',200
b'https://www.coliseumdental.com',403
b'http://www.madisonavedentist.com',200
b'http://3dmicroendo.com',200
b'http://www.drbraverman.com/about/our-team/carolyn-van-buskirk',404
b'http://thebrandwellnesscenter.com',200
b'https://doctors.columbia.edu/us/ny/new-york/james-burke-fine-dmd-100-haven-ave',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.martinmandmd.com',
b'http://www.advanceddentalnyc.com',200
b'https://doctors.nyp.org/howard-israel-dds/acn-east-adult-dental',404
b'https://houseofbracesny.com',
b'https://www.fidiendodontics.com',200
b'https://nataliescarmatodds.com',
b'https://www.kirschdds.com',403
b'http://www.suttonpda.com/mina-elahi-new-york',404
b'https://fwdentalassociates.com',200
b'https://fwdentalassociates.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.iadentistry.com',200
b'https://www.prosthandconyc.com',200
b'https://houseofbracesny.com',
b'https://www.centurymedicaldental.com',200
b'http://www.ejassociates.org',200
b'http://www.drveligdan.com',200
b'https://www.perionyc.com',200
b'https://www.kirschdds.com',403
b'https://citydentalnyc.com',200
b'http://3dmicroendo.com',200
b'http://www.martinmandmd.com',
b'http://www.advanceddentalnyc.com',200
b'https://www.zarabidental.com/contactus',200
b'https://www.centurymedicaldental.com',200
b'https://houseofbracesny.com',
b'http://www.drveligdan.com',200
b'http://www.nyc-dental.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.madisonavedentist.com',200
b'https://www.perionyc.com',200
b'https://www.youngbuidds.com',200
b'https://www.kirschdds.com',403
b'http://www.expertdentalnyc.com',200
b'http://www.gentledentalnyc.com',200
b'http://3dmicroendo.com',200
b'http://www.martinmandmd.com',
b'http://www.advanceddentalnyc.com',200
b'http://www.drveligdan.com',200
b'http://www.holisticdentistrynyc.com',404
b'https://www.centurymedicaldental.com',200
b'https://www.sleepwellorthotics.com',403
b'https://houseofbracesny.com',
b'http://www.gentledentalnyc.com',200
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.chelseadentalaesthetics.com',200
b'http://thebrandwellnesscenter.com',200
b'https://www.kirschdds.com',403
b'http://www.advanceddentalnyc.com',200
b'http://www.martinmandmd.com',
b'http://3dmicroendo.com',200
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'https://www.perionyc.com',200
b'http://www.alexgausedds.com',200
b'http://www.gentledentalnyc.com',200
b'https://houseofbracesny.com',
b'https://www.sleepwellorthotics.com',403
b'http://www.madisonavedentist.com',200
b'http://www.expertdentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://3dmicroendo.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.advanceddentalnyc.com',200
b'http://www.chelseadentalaesthetics.com',200
b'https://www.kirschdds.com',403
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'https://www.perionyc.com',200
b'http://www.madisonavedentist.com',200
b'http://www.martinmandmd.com',
b'https://www.sleepwellorthotics.com',403
b'https://houseofbracesny.com',
b'http://www.smilesny.com',200
b'https://www.youngbuidds.com',200
b'http://www.expertdentalnyc.com',200
b'http://3dmicroendo.com',200
b'http://www.advanceddentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.gentledentalnyc.com',200
b'https://www.kirschdds.com',403
b'http://www.chelseadentalaesthetics.com',200
b'http://www.drveligdan.com',200
b'https://www.centurymedicaldental.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.smilesny.com',200
b'https://www.perionyc.com',200
b'https://www.sleepwellorthotics.com',403
b'http://www.gentledentalnyc.com',200
b'http://www.madisonavedentist.com',200
b'https://www.youngbuidds.com',200
b'http://3dmicroendo.com',200
b'http://www.expertdentalnyc.com',200
b'http://www.advanceddentalnyc.com',200
b'http://thebrandwellnesscenter.com',200
b'http://www.chelseadentalaesthetics.com',200
b'http://www.holisticdentistrynyc.com',404
b'http://www.gentledentalnyc.com',200
b'http://www.smilesny.com',200
b'http://www.martinmandmd.com',
b'https://www.youngbuidds.com',200
b'http://www.martinmandmd.com',
b'https://www.youngbuidds.com',200
b'http://www.martinmandmd.com',
b'http://www.martinmandmd.com',
b'http://www.martinmandmd.com',
